设计人	编号	武将姓名	武将称号	体力值	一技能	二技能	三技能	四技能	五技能	六技能	七技能	八技能	九技能	十技能	设计思路	F&Q
王景略	#VALUE!	郑玄	当世儒宗	3	"整经：回合开始时，你可以声明以下至多三项任意内容(每项内容限一种)
1.牌的类型 2. 牌的花色 3.牌的非字母点数
4.牌的字母点数 5.基本牌名 6.锦囊牌名 7.装备牌名
出牌阶段限X次(X为场上人数且至少为3)，你可以重铸符合你声明内容相同的牌或使用时摸一张牌。"	"修业：回合结束时，若你本回合有X张以上进入弃牌堆的中符合你“整经”声明的内容，你可以执行一项
1.令一名角色回复一点体力
2.选择获得本回合进入弃牌堆的三张牌
3.将你的全部手牌置入牌堆并洗牌，然后摸等量的牌
若你使用的至少X张牌也符合，你可以在执行一项。(X为场上人数且至少为3)"	怀学：锁定技，你摸牌时，需从牌堆顶和牌堆底交替摸牌								"整体思路按照依然按照郑玄生平的儒学经历为切入点，这个设计主要是按照玩法驱动，及需要按照既定要求进行牌的使用
“整经”需要事先声明的内容（牌的子项）代指郑玄选择需要整理的经典，而总计的七个子项也对应了郑玄主要七种经典的贡献，所以当符合条件的牌进行使用（使用摸牌或者重铸）也就是视为了整理经典的过程
“修业”为整理经典后相关反馈，如果整理成功（符合条件）那么就会收到反馈及找到了成功的满意经典（回复体力）需要复学（获得本回合进入的弃置牌）需要重新整理（置入手牌洗牌）
“怀学” 代指郑玄在乱世辗转四方 依然怀学之心继续进行修学 游戏语音代指交替摸牌"	"F:整经声明的内容包含范围是的是？
Q：牌的类型（基本 锦囊 装备） 牌的花色（红桃 黑桃 梅花 方片）牌的非字母点数（点数2-10）牌的字母点数（K Q J A） 基本牌名（杀闪桃酒）装备牌名（牌堆中的基本牌名）锦囊牌名（牌堆包含的基本牌名）

F：当一张牌同时满足两项声明条件时，使用后能否摸多张牌
Q：不行 只能摸一张"
有仙Yosan	#VALUE!	鄭玄	當世儒宗	3	"釋典：
每回合限一次，你可将任意张牌当做任意一张牌名字数与以此法转化牌数相等的基本牌或非延时类锦囊牌使用或打出。若你以此法转化牌的花色不同或点数不同，你摸X张牌（X为你以此法转化牌数量-1）。"	"傳述：
当你的一张牌进入弃牌堆后，若场上存在手牌数少于体力上限的其他角色，你可令其中一名角色选择：1.获得此牌；2.获得“传述”。"									"郑玄作为汉朝经学的集大成者，一代文宗，在经学里的地位毋庸多言。
『釋典』即注释经典，郑玄一生注释百万字经典，其学识渊博，自然可以转化各种各样的牌。若转化牌的花色不同或点数不同，还可以获得额外收益。四种花色对应四书，不同点数也暗指其在历法、数学方面的学术成就。
『傳述』来自郑玄在《戒子益恩书》中说的致力经学是为了“述先圣之玄意，思整百家之不齐”，可将一技能因转化而失去的牌交给队友，也可以将“传述”这个技能让队友获得，增加手牌的利用率。限定“手牌数少于体力上限”的角色暗指郑玄的气节，因为手牌越多，越体现一名角色的野心（如曹老板）。"	
九芺	#VALUE!	程普	荡寇将军	4	虎首：锁定技，每轮开始时，若与你体力值相同的角色为最多，本轮你的摸牌阶段摸牌数+1；否则，本轮你的黑色牌可以当作【酒】使用。	赴孙：其他角色的弃牌阶段结束时，若此阶段内有非伤害牌因弃置而置入弃牌堆，你可以获得其中X张牌。若你以此法获得：黑色牌，你失去1点体力;红色牌，视为火【杀】直到本轮结束；其他角色回合开始时，你可以将这些牌中的任意张交给其(X为你已损失体力且至少为1)。									无	"Q：交给别人会导致视为杀消失吗？
A：不会"
鲲鲲	#VALUE!	王平	登陵围丘	4	隆振：轮次技，你成为牌的目标时，可摸三张牌，此牌离开处理区后，你可弃置三张牌以重置此技能。	穆闭：有角色弃置至少两张牌时，你可移去中央区一张牌，令其收回一张同类别牌，若之为延时牌，其可仅对自己使用之，收回其他牌。	凌垚：限定技，出牌阶段开始时，你可弃置所有手牌，弃置一名比你手牌更少角色的手牌，对其造成1点伤害。	"*中央区（每回合弃牌堆）：
一个不属于任何角色的公共无序区域，其中的牌正面朝上。
原应进入弃牌堆的牌（如经使用、打出、弃置等操作）改为置入中央区。
*移去：将中央区内的牌置入弃牌堆。"								
盖铭昌	#VALUE!	韦曜	涤身侍廷	3	赫名：一名角色于其回合内摸牌阶段外获得牌后你可以弃置其一张牌，然后其本回合下一次造成伤害后摸一张牌（可叠加），且若不是对你，你摸一张牌（不可叠加）。直到回合结束，若其为造成过伤害，你弃置一张牌。	醇清：每回合限一次，有角色需要使用【酒】时，其可以交给你一张牌，视为使用一张【酒】，然后直到你的下个回合结束，你摸牌阶段摸牌数和手牌上限+1。若你因此增加的数值不小于当前体力值，你使用牌没有次数和距离限制。									一技能对应其刚正不阿的秉性，二技能符合历史上以水代酒的典故。自己喝不需要交给手牌，是为代酒；其他大臣幸免于难后自己能够与大臣们更加熟知，对应取得的收益。	
纱布	#VALUE!	王崇	东观郎	3	宽和：每名角色的摸牌阶段，你可改为令你摸至多为当前场上存活角色数且至少为二的牌，随后你需交给其相同数量的手牌，在这之后其可将任意张手牌交给任意角色。	惘书：当你非因使用或打出而失去一张牌时，你令其背面朝上视为无效果牌，直到你重新获得之。每名角色的出牌阶段，其可弃置一张牌并将一张背面朝上的无效果牌翻回正面。									"【宽和】：主要指王崇待人的性格，哪怕道不同也依然能与其交好的性格，这里主要体现在了帮助无论敌友都可以进行帮忙令其多摸牌这一点上。

【惘书】：虽然性情宽和，可看待朝中的一些恶行他也无法置之不理，但面对已经行将就木的蜀汉后期，王崇也只能无可奈何，尽管做了一些事，但也和没做一样，尽管写下了蜀书，但留给后人的也就两段话。体现在技能方面就是背面朝上的无效牌，其他角色想要理解真意除非付出一定代价，否则也只能将其弃置或者扔给别人，类似这样的感觉。"	
不如吃茶去	#VALUE!	张温	东郭放狼	4	狐威：出牌阶段限一次，你可以选择一名其他角色，然后将手牌数调整至与其体力值等同且至多为5。若你因此摸/弃牌，则视为该角色对你/你对该角色使用一张无视距离/无次数限制的杀。	"平乱
当你首次受到或造成伤害后，受到伤害的角色可交给伤害来源一张牌，伤害来源可令其回复一点体力，否则需要弃置一张与此牌花色不同的牌。"									"一技能狐假虎威，可以依靠高体力值的角色摸牌，但会被其所伤，比如董卓。可以对低体力值的角色弃牌出杀，不也是糜废钱粮劳而无功吗
二技能收受钱财，劳而无功，弱弱乞生，不得善果"	
不如吃茶去	#VALUE!	石苞	东南柱石	4	奋勇：准备阶段，你可选择一名角色与其各展示一张牌，并将其中一张牌置于牌堆顶。若你与其展示的牌中未包括：基本牌，你视为使用一张无距离限制的杀；锦囊牌，你视为使用一张决斗；装备牌，你移动场上一张装备。	长驱：结束阶段，若你还有手牌，你可以将所有手牌交给一名角色，并视为使用一张本回合使用过的基本牌。以此法获得牌的角色选择一项：1.令你回复1点体力；2.交给你等量张牌。									"石苞才思敏捷，故而我在一技能里想要用精简的设计达成很多效果。
二技能就是石苞受诬回朝，但仍守重用的事了。"	"Q：二技能没有出牌阶段如何
A：获得牌的角色直接选择。
Q：一技能若展示的手牌相同呢
A：执行另外两项，并可以选择先后顺序。"
不如吃茶去	#VALUE!	程普	东吴柱石	4	"矜功
一名角色摸牌阶段开始时，若体力值不大于你，你可以获得其所摸牌中的一张。若如此做，其须选择一项：1.令你回复1点体力，你可发动一次【自醉】；2.对你使用一张【杀】，你可将获得的牌当做【闪】使用。"	"鼎臣
每回合限一次，你可以移除一张“醪”当一张任意基本牌使用，若在你的回合内，你可为此牌其指定至多X名角色为目标（X为醪标记数）。"	"自醉
准备阶段，你可以失去一点体力摸一张牌，然后将一张手牌置于武将牌上，称为“醪”（醪标记至多不大于场上存活人数）。"								程普作为一个三世老臣，设计思路一就是和周瑜那点故事，二就是写下它的武勇。	"Q：若标记数多余场上角色可以继续添加吗？
A不可以"
终汐舷	#VALUE!	韦曜	笃学好古	3	校述：出牌阶段每名角色限一次，你可以选择一名手牌数大于你的角色，今你本回合不能对该角色使用牌，然后将手牌数摸至与其相同。	代酒：你可以把一张【酒】当做【桃】或本回合末使用过的非伤害普通锦囊牌使用。									"韦曜受孙休之命依照刘向所创体例，校核审定各类书籍，这就是他一技能“校述”的来源，他可以将自己的手牌数“校对”至其他角色的手牌数。
二技能“代酒”来自他“以茶代酒”的典故，他可以将【酒】转化成非伤害牌，避免来自孙皓的诛杀。"	
布林	#VALUE!	韦曜	笃学好古	3	存牒：每回合结束时，你可以将弃牌堆中的一张牌置于武将牌上，称为“牒”，并弃置此前武将牌上的“牒”（若没有须弃一张牌）。你可以将“牒”如手牌般使用或打出，你以此法使用的牌不能被响应。	代酒：锁定技，你的【酒】视为【茶】。你可以将点数为9的牌当【茶】使用。	"*【茶】：基本牌：1.出牌阶段，对你使用，本回合你使用的下一张牌无次数和距离限制（每回合限一次）。
2.你使用【闪】结算结束后，对你使用，摸两张牌。"								"韦曜，东吴重臣，著有《吴书》。孙皓曾要求韦曜为其父亲孙和作纪，韦曜不从，坚持作传，因此设计一技能“存牒”（意为如实记史），可以从弃牌堆拿回重要的牌并使用。
韦曜不善饮酒，宴会时常常以茶代酒，故设计二技能“代酒”，可以将【酒】和点数为9的牌当新基本牌【茶】用，【茶】的效果与【酒】类似，但比【酒】更为温和：回合内可以让牌没有限制，还可以与【闪】一起使用来摸牌。"	
